id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals
2021.acl-long.243,How Good is Your Tokenizer? On the Monolingual Performance of Multilingual Language Models,2021-01-01,https://aclanthology.org/2021.acl-long.243/,"acl, ijcnlp",,"In this work, we provide a systematic and comprehensive empirical comparison of pretrained multilingual language models versus their monolingual counterparts with regard to their monolingual task performance. We study a set of nine typologically diverse languages with readily available pretrained monolingual models on a set of five diverse monolingual downstream tasks. We first aim to establish, via fair and controlled comparisons, if a gap between the multilingual and the corresponding monolingual representation of that language exists, and subsequently investigate the reason for any performance difference. To disentangle conflating factors, we train new monolingual models on the same data, with monolingually and multilingually trained tokenizers. We find that while the pretraining data size is an important factor, a designated monolingual tokenizer plays an equally important role in the downstream performance. Our results show that languages that are adequately represented in the multilingual model’s vocabulary exhibit negligible performance decreases over their monolingual counterparts. We further find that replacing the original multilingual tokenizer with the specialized monolingual tokenizer improves the downstream performance of the multilingual model for almost every task and language.",1,1,1,0,0,0,p,p,1,1,i,i,"ara,eng,fin,ind,jpn,kor,rus,tur,zho","ara,eng,fin,ind,jpn,kor,rus,tur,zho","ara,eng,fin,ind,jpn,kor,rus,tur,zho","arb,eng,fin,ind,jpn,kor,rus,tur,cmn"
2021.acl-short.46,Modeling Task-Aware MIMO Cardinality for Efficient Multilingual Neural Machine Translation,2021-01-01,https://aclanthology.org/2021.acl-short.46/,"acl, ijcnlp",,"Neural machine translation has achieved great success in bilingual settings, as well as in multilingual settings. With the increase of the number of languages, multilingual systems tend to underperform their bilingual counterparts. Model capacity has been found crucial for massively multilingual NMT to support language pairs with varying typological characteristics. Previous work increases the modeling capacity by deepening or widening the Transformer. However, modeling cardinality based on aggregating a set of transformations with the same topology has been proven more effective than going deeper or wider when increasing capacity. In this paper, we propose to efficiently increase the capacity for multilingual NMT by increasing the cardinality. Unlike previous work which feeds the same input to several transformations and merges their outputs into one, we present a Multi-Input-Multi-Output (MIMO) architecture that allows each transformation of the block to have its own input. We also present a task-aware attention mechanism to learn to selectively utilize individual transformations from a set of transformations for different translation directions. Our model surpasses previous work and establishes a new state-of-the-art on the large scale OPUS-100 corpus while being 1.31 times as fast.",0,0,0,,,,,,,,,,,,,
2021.acl-short.69,When is Char Better Than Subword: A Systematic Study of Segmentation Algorithms for Neural Machine Translation,2021-01-01,https://aclanthology.org/2021.acl-short.69/,"acl, ijcnlp",,"Subword segmentation algorithms have been a de facto choice when building neural machine translation systems. However, most of them need to learn a segmentation model based on some heuristics, which may produce sub-optimal segmentation. This can be problematic in some scenarios when the target language has rich morphological changes or there is not enough data for learning compact composition rules. Translating at fully character level has the potential to alleviate the issue, but empirical performances of character-based models has not been fully explored. In this paper, we present an in-depth comparison between character-based and subword-based NMT systems under three settings: translating to typologically diverse languages, training with low resource, and adapting to unseen domains. Experiment results show strong competitiveness of character-based models. Further analyses show that compared to subword-based models, character-based models are better at handling morphological phenomena, generating rare and unknown words, and more suitable for transferring to unseen domains.",1,1,1,0,0,0,p,p,1,1,l,l,"ara,fin,fra,heb,ron,tur,vie,zsm","ara,fin,fra,heb,mri,ron,tur,vie","ara,fin,fra,heb,ron,tur,vie,zsm","arb,fin,fra,heb,ron,tur,vie,zsm"
2021.acl-short.72,Learning Domain-Specialised Representations for Cross-Lingual Biomedical Entity Linking,2021-01-01,https://aclanthology.org/2021.acl-short.72/,"acl, ijcnlp",,"Injecting external domain-specific knowledge (e.g., UMLS) into pretrained language models (LMs) advances their capability to handle specialised in-domain tasks such as biomedical entity linking (BEL). However, such abundant expert knowledge is available only for a handful of languages (e.g., English). In this work, by proposing a novel cross-lingual biomedical entity linking task (XL-BEL) and establishing a new XL-BEL benchmark spanning 10 typologically diverse languages, we first investigate the ability of standard knowledge-agnostic as well as knowledge-enhanced monolingual and multilingual LMs beyond the standard monolingual English BEL task. The scores indicate large gaps to English performance. We then address the challenge of transferring domain-specific knowledge in resource-rich languages to resource-poor ones. To this end, we propose and evaluate a series of cross-lingual transfer methods for the XL-BEL task, and demonstrate that general-domain bitext helps propagate the available English knowledge to languages with little to no in-domain data. Remarkably, we show that our proposed domain-specific transfer methods yield consistent gains across all target languages, sometimes up to 20 Precision@1 points, without any in-domain knowledge in the target language, and without any in-domain parallel data.",1,1,1,0,0,0,b,p,,0,i,n,"ces,deu,ell,eng,est,fin,fra,hrv,ita,jpn,kor,lav,nld,nob,pol,por,rus,spa,swe,tha,tur,zho","deu,eng,fin,jpn,kor,rus,spa,tha,tur,zho","ces,deu,ell,eng,est,fin,fra,hrv,ita,jpn,kor,lav,nld,nob,pol,por,rus,spa,swe,tha,tur,zho","ces,deu,ell,eng,ekk,fin,fra,hrv,ita,jpn,kor,lav,nld,nor,pol,por,rus,spa,swe,tha,tur,cmn"
2021.starsem-1.22,Inducing Language-Agnostic Multilingual Representations,2021-01-01,https://aclanthology.org/2021.starsem-1.22/,starsem,,"Cross-lingual representations have the potential to make NLP techniques available to the vast majority of languages in the world. However, they currently require large pretraining corpora or access to typologically similar languages. In this work, we address these obstacles by removing language identity signals from multilingual embeddings. We examine three approaches for this: (i) re-aligning the vector spaces of target languages (all together) to a pivot source language; (ii) removing language-specific means and variances, which yields better discriminativeness of embeddings as a by-product; and (iii) increasing input similarity across languages by removing morphological contractions and sentence reordering. We evaluate on XNLI and reference-free MT evaluation across 19 typologically diverse languages. Our findings expose the limitations of these approaches—unlike vector normalization, vector space re-alignment and text normalization do not achieve consistent gains across encoders and languages. Due to the approaches’ additive effects, their combination decreases the cross-lingual transfer gap by 8.9 points (m-BERT) and 18.2 points (XLM-R) on average across all tasks and languages, however.",1,1,1,0,0,0,p,p,,1,n,i,"afr,ben,deu,eng,est,fil,fin,fra,hin,hun,ind,ita,jav,mar,nld,por,spa,urd,zsm","afr,ben,deu,eng,est,fil,fin,fra,hin,hun,ind,ita,jav,mar,msa,nld,por,spa,urd","afr,ben,deu,eng,est,fil,fin,fra,hin,hun,ind,ita,jav,mar,nld,por,spa,urd,zsm","afr,ben,deu,eng,ekk,tgl,fin,fra,hin,hun,ind,ita,jav,mar,nld,por,spa,urd,zsm"
2020.jeptalnrecital-taln.19,L’expression des émotions dans les textes pour enfants : constitution d’un corpus annoté (Expressing emotions in texts for children: constitution of an annotated corpus),2020-01-01,https://aclanthology.org/2020.jeptalnrecital-taln.19/,jeptalnrecital,,"Cet article présente une typologie de divers modes d’expression linguistique des émotions, le schéma d’annotation sous Glozz qui implémente cette typologie et un corpus de textes journalistiques pour enfants annoté à l’aide de ce schéma. Ces travaux préliminaires s’insèrent dans le contexte d’une étude relative au développement des capacités langagières des enfants, en particulier de leur capacité à comprendre un texte selon des critères émotionnels.",0,0,0,,,,,,,,,,,,,
P19-1341,A Multilingual BPE Embedding Space for Universal Sentiment Lexicon Induction,2019-01-01,https://aclanthology.org/P19-1341/,acl,,"We present a new method for sentiment lexicon induction that is designed to be applicable to the entire range of typological diversity of the world’s languages. We evaluate our method on Parallel Bible Corpus+ (PBC+), a parallel corpus of 1593 languages. The key idea is to use Byte Pair Encodings (BPEs) as basic units for multilingual embeddings. Through zero-shot transfer from English sentiment, we learn a seed lexicon for each language in the domain of PBC+. Through domain adaptation, we then generalize the domain-specific lexicon to a general one. We show – across typologically diverse languages in PBC+ – good quality of seed and general-domain sentiment lexicons by intrinsic and extrinsic and by automatic and human evaluation. We make freely available our code, seed sentiment lexicons for all 1593 languages and induced general-domain sentiment lexicons for 200 languages.",1,1,1,0,1,0,p,p,0,0,i,n,"bul,deu,hrv,hun,pol,por,rus,slk,slv,spa,sqi,srp,swe",,"bul,deu,hrv,hun,pol,por,rus,slk,slv,spa,sqi,srp,swe","bul,deu,hrv,hun,pol,por,rus,slk,slv,spa,sqi,srp,swe"
P19-1383,Is Word Segmentation Child’s Play in All Languages?,2019-01-01,https://aclanthology.org/P19-1383/,acl,,"When learning language, infants need to break down the flow of input speech into minimal word-like units, a process best described as unsupervised bottom-up segmentation. Proposed strategies include several segmentation algorithms, but only cross-linguistically robust algorithms could be plausible candidates for human word learning, since infants have no initial knowledge of the ambient language. We report on the stability in performance of 11 conceptually diverse algorithms on a selection of 8 typologically distinct languages. The results consist evidence that some segmentation algorithms are cross-linguistically valid, thus could be considered as potential strategies employed by all infants.",1,1,1,0,0,0,p,p,1,1,i,i,"ind,inu,jpn,rus,ses,tur,yuc,zho","iku,ind,jpn,rus,sot,tur,yua,zho","iku,ind,jpn,rus,sot,tur,yua,zho","iku,ind,jpn,rus,sot,tur,yua,cmn"
W16-3806,Universal Dependencies: A Cross-Linguistic Perspective on Grammar and Lexicon,2016-01-01,https://aclanthology.org/W16-3806/,gramlex,,"Universal Dependencies is an initiative to develop cross-linguistically consistent grammatical annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning and parsing research from a language typology perspective. It assumes a dependency-based approach to syntax and a lexicalist approach to morphology, which together entail that the fundamental units of grammatical annotation are words. Words have properties captured by morphological annotation and enter into relations captured by syntactic annotation. Moreover, priority is given to relations between lexical content words, as opposed to grammatical function words. In this position paper, I discuss how this approach allows us to capture similarities and differences across typologically diverse languages.",0,0,0,,,,,,,,,,,,,
2021.tacl-1.1,Reducing Confusion in Active Learning for Part-Of-Speech Tagging,2021-01-01,https://aclanthology.org/2021.tacl-1.1/,tacl,,"Active learning (AL) uses a data selection algorithm to select useful training samples to minimize annotation cost. This is now an essential tool for building low-resource syntactic analyzers such as part-of-speech (POS) taggers. Existing AL heuristics are generally designed on the principle of selecting uncertain yet representative training instances, where annotating these instances may reduce a large number of errors. However, in an empirical study across six typologically diverse languages (German, Swedish, Galician, North Sami, Persian, and Ukrainian), we found the surprising result that even in an oracle scenario where we know the true uncertainty of predictions, these current heuristics are far from optimal. Based on this analysis, we pose the problem of AL as selecting instances that maximally reduce the confusion between particular pairs of output tags. Extensive experimentation on the aforementioned languages shows that our proposed AL strategy outperforms other AL strategies by a significant margin. We also present auxiliary results demonstrating the importance of proper calibration of models, which we ensure through cross-view training, and analysis demonstrating how our proposed strategy selects examples that more closely follow the oracle data distribution. The code is publicly released here.1",1,1,1,0,0,0,p,p,1,0,i,n,"deu,fas,glg,sme,swe,ukr","deu,fas,glg,sme,swe,ukr","deu,fas,glg,sme,swe,ukr","deu,pes,glg,sme,swe,ukr"
2021.tacl-1.25,Parameter Space Factorization for Zero-Shot Learning across Tasks and Languages,2021-01-01,https://aclanthology.org/2021.tacl-1.25/,tacl,,"Most combinations of NLP tasks and language varieties lack in-domain examples for supervised training because of the paucity of annotated data. How can neural models make sample-efficient generalizations from task–language combinations with available data to low-resource ones? In this work, we propose a Bayesian generative model for the space of neural parameters. We assume that this space can be factorized into latent variables for each language and each task. We infer the posteriors over such latent variables based on data from seen task–language combinations through variational inference. This enables zero-shot classification on unseen combinations at prediction time. For instance, given training data for named entity recognition (NER) in Vietnamese and for part-of-speech (POS) tagging in Wolof, our model can perform accurate predictions for NER in Wolof. In particular, we experiment with a typologically diverse sample of 33 languages from 4 continents and 11 families, and show that our model yields comparable or better results than state-of-the-art, zero-shot cross-lingual transfer methods. Our code is available at github.com/cambridgeltl/parameter-factorization.",1,1,1,0,0,0,p,p,0,1,i,i,"aii,amh,ara,bam,cym,est,eus,fao,fil,fin,glg,gun,heb,hsb,hun,hye,ind,kaz,kmr,kor,kpv,mlt,myv,sme,tam,tel,tha,tur,uig,vie,wol,yor,yue","amh,ara,bam,cym,est,eus,fao,fil,fin,glg,gun,heb,hsb,hun,hye,ind,kaz,kmr,kor,kpv,mlt,myv,tam,tel,tha,tur,uig,vie,wol,yor,yue","aii,amh,ara,bam,cym,est,eus,fao,fil,fin,glg,gun,heb,hsb,hun,hye,ind,kaz,kmr,kor,kpv,mlt,myv,sme,tam,tel,tha,tur,uig,vie,wol,yor,yue","aii,amh,arb,bam,cym,ekk,eus,fao,tgl,fin,glg,gun,heb,hsb,hun,hye,ind,kaz,kmr,kor,kpv,mlt,myv,sme,tam,tel,tha,tur,uig,vie,wol,yor,yue"
2021.tacl-1.82,MKQA: A Linguistically Diverse Benchmark for Multilingual Open Domain Question Answering,2021-01-01,https://aclanthology.org/2021.tacl-1.82/,tacl,,"Progress in cross-lingual modeling depends on challenging, realistic, and diverse evaluation sets. We introduce Multilingual Knowledge Questions and Answers (MKQA), an open- domain question answering evaluation set comprising 10k question-answer pairs aligned across 26 typologically diverse languages (260k question-answer pairs in total). Answers are based on heavily curated, language- independent data representation, making results comparable across languages and independent of language-specific passages. With 26 languages, this dataset supplies the widest range of languages to-date for evaluating question answering. We benchmark a variety of state- of-the-art methods and baselines for generative and extractive question answering, trained on Natural Questions, in zero shot and translation settings. Results indicate this dataset is challenging even in English, but especially in low-resource languages.1",1,1,1,1,1,1,b,d,0,1,i,f,"ara,cmn,dan,deu,eng,fin,fra,heb,hun,ita,jpn,khm,kor,nld,nob,pol,por,rus,spa,swe,tha,tur,vie,yue,zsm","ara,dan,deu,eng,fin,fra,heb,hun,ita,jpn,khm,kor,mal,nld,nor,pol,por,rus,spa,swe,tha,tur,vie,zho","ara,dan,deu,eng,fin,fra,heb,hun,ita,jpn,khm,kor,nld,nor,pol,por,rus,spa,swe,tha,tur,vie,yue,zho,zsm","arb,dan,deu,eng,fin,fra,heb,hun,ita,jpn,khm,kor,nld,nor,pol,por,rus,spa,swe,tha,tur,vie,yue,cmn,zsm"
2020.udw-1.4,Corpus evidence for word order freezing in Russian and German,2020-01-01,https://aclanthology.org/2020.udw-1.4/,udw,,"We use Universal Dependencies treebanks to test whether a well-known typological trade-off between word order freedom and richness of morphological marking of core arguments holds within individual languages. Using Russian and German treebank data, we show that the following phenomenon (sometimes dubbed word order freezing) does occur: those sentences where core arguments cannot be distinguished by morphological means (due to case syncretism or other kinds of ambiguity) have more rigid order of subject, verb and object than those where unambiguous morphological marking is present. In ambiguous clauses, word order is more often equal to the one which is default or dominant (most frequent) in the language. While Russian and German differ with respect to how exactly they mark core arguments, the effect of morphological ambiguity is significant in both languages. It is, however, small, suggesting that languages do adapt to the evolutionary pressure on communicative efficiency and avoidance of redundancy, but that the pressure is weak in this particular respect.",0,0,0,,,,,,,,,,,,,
2020.lrec-1.20,The ACQDIV Corpus Database and Aggregation Pipeline,2020-01-01,https://aclanthology.org/2020.lrec-1.20/,lrec,,"We present the ACQDIV corpus database and aggregation pipeline, a tool developed as part of the European Research Council (ERC) funded project ACQDIV, which aims to identify the universal cognitive processes that allow children to acquire any language. The corpus database represents 15 corpora from 14 typologically maximally diverse languages. Here we give an overview of the project, database, and our extensible software package for adding more corpora to the current language sample. Lastly, we discuss how we use the corpus database to mine for universal patterns in child language acquisition corpora and we describe avenues for future research.",1,1,1,1,1,1,d,d,1,1,i,i,"byx,cre,ctn,eng,ike,ind,jpn,mux,roh,rus,sot,tur,yua,yuw","byx,cre,ctn,eng,ike,ind,jpn,mux,roh,rus,sot,tur,yua,yuw","byx,cre,ctn,eng,ike,ind,jpn,mux,roh,rus,sot,tur,yua,yuw","byx,cre,ctn,eng,ike,ind,jpn,mux,roh,rus,sot,tur,yua,yuw"
2020.lrec-1.324,Building a Time-Aligned Cross-Linguistic Reference Corpus from Language Documentation Data (DoReCo),2020-01-01,https://aclanthology.org/2020.lrec-1.324/,lrec,,"Natural speech data on many languages have been collected by language documentation projects aiming to preserve lingustic and cultural traditions in audivisual records. These data hold great potential for large-scale cross-linguistic research into phonetics and language processing. Major obstacles to utilizing such data for typological studies include the non-homogenous nature of file formats and annotation conventions found both across and within archived collections. Moreover, time-aligned audio transcriptions are typically only available at the level of broad (multi-word) phrases but not at the word and segment levels. We report on solutions developed for these issues within the DoReCo (DOcumentation REference COrpus) project. DoReCo aims at providing time-aligned transcriptions for at least 50 collections of under-resourced languages. This paper gives a preliminary overview of the current state of the project and details our workflow, in particular standardization of formats and conventions, the addition of segmental alignments with WebMAUS, and DoReCo’s applicability for subsequent research programs. By making the data accessible to the scientific community, DoReCo is designed to bridge the gap between language documentation and linguistic inquiry.",0,0,0,,,,,,,,,,,,,
2020.lrec-1.458,An Analysis of Massively Multilingual Neural Machine Translation for Low-Resource Languages,2020-01-01,https://aclanthology.org/2020.lrec-1.458/,lrec,,"In this work, we explore massively multilingual low-resource neural machine translation. Using translations of the Bible (which have parallel structure across languages), we train models with up to 1,107 source languages. We create various multilingual corpora, varying the number and relatedness of source languages. Using these, we investigate the best ways to use this many-way aligned resource for multilingual machine translation. Our experiments employ a grammatically and phylogenetically diverse set of source languages during testing for more representative evaluations. We find that best practices in this domain are highly language-specific: adding more languages to a training set is often better, but too many harms performance—the best number depends on the source language. Furthermore, training on related languages can improve or degrade performance, depending on the language. As there is no one-size-fits-most answer, we find that it is critical to tailor one’s approach to the source language and its typology.",0,0,0,,,,,,,,,,,,,
2020.lrec-1.472,An Enhanced Mapping Scheme of the Universal Part-Of-Speech for Korean,2020-01-01,https://aclanthology.org/2020.lrec-1.472/,lrec,,"When mapping a language specific Part-Of-Speech (POS) tag set to the Universal POS tag set (UPOS), it is critical to consider the individual language’s linguistic features and the UPOS definitions. In this paper, we present an enhanced Sejong POS mapping to the UPOS in accordance with the Korean linguistic typology and the substantive definitions of the UPOS categories. This work updated one third of the Sejong POS mapping to the UPOS. We also introduced a new mapping for the KAIST POS tag set, another widely used Korean POS tag set, to the UPOS.",0,0,0,,,,,,,,,,,,,
2020.lrec-1.493,Morphological Segmentation for Low Resource Languages,2020-01-01,https://aclanthology.org/2020.lrec-1.493/,lrec,,"This paper describes a new morphology resource created by Linguistic Data Consortium and the University of Pennsylvania for the DARPA LORELEI Program. The data consists of approximately 2000 tokens annotated for morphological segmentation in each of 9 low resource languages, along with root information for 7 of the languages. The languages annotated show a broad diversity of typological features. A minimal annotation scheme for segmentation was developed such that it could capture the patterns of a wide range of languages and also be performed reliably by non-linguist annotators. The basic annotation guidelines were designed to be language-independent, but included language-specific morphological paradigms and other specifications. The resulting annotated corpus is designed to support and stimulate the development of unsupervised morphological segmenters and analyzers by providing a gold standard for their evaluation on a more typologically diverse set of languages than has previously been available. By providing root annotation, this corpus is also a step toward supporting research in identifying richer morphological structures than simple morpheme boundaries.",1,1,1,1,1,1,b,d,1,1,i,i,"aka,fil,hin,hun,ind,rus,spa,swa,tam","aka,fil,hin,hun,ind,rus,spa,swa,tam","aka,fil,hin,hun,ind,rus,spa,swa,tam","aka,tgl,hin,hun,ind,rus,spa,swh,tam"
2020.lrec-1.503,SpiCE: A New Open-Access Corpus of Conversational Bilingual Speech in Cantonese and English,2020-01-01,https://aclanthology.org/2020.lrec-1.503/,lrec,,"This paper describes the design, collection, orthographic transcription, and phonetic annotation of SpiCE, a new corpus of conversational Cantonese-English bilingual speech recorded in Vancouver, Canada. The corpus includes high-quality recordings of 34 early bilinguals in both English and Cantonese—to date, 27 have been recorded for a total of 19 hours of participant speech. Participants completed a sentence reading task, storyboard narration, and conversational interview in each language. Transcription and annotation for the corpus are currently underway. Transcripts produced with Google Cloud Speech-to-Text are available for all participants, and will be included in the initial SpiCE corpus release. Hand-corrected orthographic transcripts and force-aligned phonetic transcripts will be released periodically, and upon completion for all recordings, comprise the second release of the corpus. As an open-access language resource, SpiCE will promote bilingualism research for a typologically distinct pair of languages, of which Cantonese remains understudied despite there being millions of speakers around the world. The SpiCE corpus is especially well-suited for phonetic research on conversational speech, and enables researchers to study cross-language within-speaker phenomena for a diverse group of early Cantonese-English bilinguals. These are areas with few existing high-quality resources.",0,0,1,,,,,d,,0,,n,,"eng,yue",,
2020.lrec-1.709,"Decomposing and Comparing Meaning Relations: Paraphrasing, Textual Entailment, Contradiction, and Specificity",2020-01-01,https://aclanthology.org/2020.lrec-1.709/,lrec,,"In this paper, we present a methodology for decomposing and comparing multiple meaning relations (paraphrasing, textual entailment, contradiction, and specificity). The methodology includes SHARel - a new typology that consists of 26 linguistic and 8 reason-based categories. We use the typology to annotate a corpus of 520 sentence pairs in English and we demonstrate that unlike previous typologies, SHARel can be applied to all relations of interest with a high inter-annotator agreement. We analyze and compare the frequency and distribution of the linguistic and reason-based phenomena involved in paraphrasing, textual entailment, contradiction, and specificity. This comparison allows for a much more in-depth analysis of the workings of the individual relations and the way they interact and compare with each other. We release all resources (typology, annotation guidelines, and annotated corpus) to the community.",0,0,0,,,,,,,,,,,,,
2020.lrec-1.879,"MorphAGram, Evaluation and Framework for Unsupervised Morphological Segmentation",2020-01-01,https://aclanthology.org/2020.lrec-1.879/,lrec,,"Computational morphological segmentation has been an active research topic for decades as it is beneficial for many natural language processing tasks. With the high cost of manually labeling data for morphology and the increasing interest in low-resource languages, unsupervised morphological segmentation has become essential for processing a typologically diverse set of languages, whether high-resource or low-resource. In this paper, we present and release MorphAGram, a publicly available framework for unsupervised morphological segmentation that uses Adaptor Grammars (AG) and is based on the work presented by Eskander et al. (2016). We conduct an extensive quantitative and qualitative evaluation of this framework on 12 languages and show that the framework achieves state-of-the-art results across languages of different typologies (from fusional to polysynthetic and from high-resource to low-resource).",1,1,1,1,1,1,d,b,1,1,i,l,"ara,azd,deu,eng,est,fin,hch,kat,mfy,nah,tur,zul","ara,azd,deu,eng,est,fin,hch,kat,mfy,tur,zul","ara,azd,deu,eng,est,fin,hch,kat,mfy,ngu,tur,zul","arb,azd,deu,eng,ekk,fin,hch,kat,mfy,ngu,tur,zul"
W18-5209,"Evidence Types, Credibility Factors, and Patterns or Soft Rules for Weighing Conflicting Evidence: Argument Mining in the Context of Legal Rules Governing Evidence Assessment",2018-01-01,https://aclanthology.org/W18-5209/,argmining,,"This paper reports on the results of an empirical study of adjudicatory decisions about veterans’ claims for disability benefits in the United States. It develops a typology of kinds of relevant evidence (argument premises) employed in cases, and it identifies factors that the tribunal considers when assessing the credibility or trustworthiness of individual items of evidence. It also reports on patterns or “soft rules” that the tribunal uses to comparatively weigh the probative value of conflicting evidence. These evidence types, credibility factors, and comparison patterns are developed to be inter-operable with legal rules governing the evidence assessment process in the U.S. This approach should be transferable to other legal and non-legal domains.",0,0,0,,,,,,,,,,,,,
2023.vardial-1.20,Dialect Representation Learning with Neural Dialect-to-Standard Normalization,2023-01-01,https://aclanthology.org/2023.vardial-1.20/,vardial,,"Language label tokens are often used in multilingual neural language modeling and sequence-to-sequence learning to enhance the performance of such models. An additional product of the technique is that the models learn representations of the language tokens, which in turn reflect the relationships between the languages. In this paper, we study the learned representations of dialects produced by neural dialect-to-standard normalization models. We use two large datasets of typologically different languages, namely Finnish and Norwegian, and evaluate the learned representations against traditional dialect divisions of both languages. We find that the inferred dialect embeddings correlate well with the traditional dialects. The methodology could be further used in noisier settings to find new insights into language variation.",0,0,0,,,,,,,,,,,,,
2023.emnlp-main.19,Understanding Compositional Data Augmentation in Typologically Diverse Morphological Inflection,2023-01-01,https://aclanthology.org/2023.emnlp-main.19/,emnlp,,"Data augmentation techniques are widely used in low-resource automatic morphological inflection to address the issue of data sparsity. However, the full implications of these techniques remain poorly understood. In this study, we aim to shed light on the theoretical aspects of the data augmentation strategy StemCorrupt, a method that generates synthetic examples by randomly substituting stem characters in existing gold standard training examples. Our analysis uncovers that StemCorrupt brings about fundamental changes in the underlying data distribution, revealing inherent compositional concatenative structure. To complement our theoretical analysis, we investigate the data-efficiency of StemCorrupt. Through evaluation across a diverse set of seven typologically distinct languages, we demonstrate that selecting a subset of datapoints with both high diversity and high predictive uncertainty significantly enhances the data-efficiency of compared to competitive baselines. Furthermore, we explore the impact of typological features on the choice of augmentation strategy and find that languages incorporating non-concatenativity, such as morphonological alternations, derive less benefit from synthetic examples with high predictive uncertainty. We attribute this effect to phonotactic violations induced by StemCorrupt, emphasizing the need for further research to ensure optimal performance across the entire spectrum of natural language morphology.",1,1,1,1,1,0,p,b,0,1,l,l,"ara,ben,fin,kat,nav,spa,tur","ara,ben,fin,kat,nav,spa,tur","ara,ben,fin,kat,nav,spa,tur","arb,ben,fin,kat,nav,spa,tur"
2023.emnlp-main.258,MEGA: Multilingual Evaluation of Generative AI,2023-01-01,https://aclanthology.org/2023.emnlp-main.258/,emnlp,,"Generative AI models have shown impressive performance on many Natural Language Processing tasks such as language understanding, reasoning, and language generation. An important question being asked by the AI community today is about the capabilities and limits of these models, and it is clear that evaluating generative AI is very challenging. Most studies on generative LLMs have been restricted to English and it is unclear how capable these models are at understanding and generating text in other languages. We present the first comprehensive benchmarking of generative LLMs - MEGA, which evaluates models on standard NLP benchmarks, covering 16 NLP datasets across 70 typologically diverse languages. We compare the performance of generative LLMs including Chat-GPT and GPT-4 to State of the Art (SOTA) non-autoregressive models on these tasks to determine how well generative models perform compared to the previous generation of LLMs. We present a thorough analysis of the performance of models across languages and tasks and discuss challenges in improving the performance of generative LLMs on low-resource languages. We create a framework for evaluating generative LLMs in the multilingual setting and provide directions for future progress in the field.",1,1,1,0,0,1,b,b,0,0,n,n,,,,
2023.emnlp-main.350,Controllable Contrastive Generation for Multilingual Biomedical Entity Linking,2023-01-01,https://aclanthology.org/2023.emnlp-main.350/,emnlp,,"Multilingual biomedical entity linking (MBEL) aims to map language-specific mentions in the biomedical text to standardized concepts in a multilingual knowledge base (KB) such as Unified Medical Language System (UMLS). In this paper, we propose Con2GEN, a prompt-based controllable contrastive generation framework for MBEL, which summarizes multidimensional information of the UMLS concept mentioned in biomedical text into a natural sentence following a predefined template. Instead of tackling the MBEL problem with a discriminative classifier, we formulate it as a sequence-to-sequence generation task, which better exploits the shared dependencies between source mentions and target entities. Moreover, Con2GEN matches against UMLS concepts in as many languages and types as possible, hence facilitating cross-information disambiguation. Extensive experiments show that our model achieves promising performance improvements compared with several state-of-the-art techniques on the XL-BEL and the Mantra GSC datasets spanning 12 typologically diverse languages.",1,1,1,0,0,0,p,p,0,0,n,n,"deu,eng,fin,fra,jpn,kor,nld,rus,spa,tha,tur,zho","deu,eng,fin,fra,jpn,kor,nld,rus,spa,tha,tur,zho","deu,eng,fin,fra,jpn,kor,nld,rus,spa,tha,tur,zho","deu,eng,fin,fra,jpn,kor,nld,rus,spa,tha,tur,cmn"
2023.emnlp-main.595,On Bilingual Lexicon Induction with Large Language Models,2023-01-01,https://aclanthology.org/2023.emnlp-main.595/,emnlp,,"Bilingual Lexicon Induction (BLI) is a core task in multilingual NLP that still, to a large extent, relies on calculating cross-lingual word representations. Inspired by the global paradigm shift in NLP towards Large Language Models (LLMs), we examine the potential of the latest generation of LLMs for the development of bilingual lexicons. We ask the following research question: Is it possible to prompt and fine-tune multilingual LLMs (mLLMs) for BLI, and how does this approach compare against and complement current BLI approaches? To this end, we systematically study 1) zero-shot prompting for unsupervised BLI and 2) few-shot in-context prompting with a set of seed translation pairs, both without any LLM fine-tuning, as well as 3) standard BLI-oriented fine-tuning of smaller LLMs. We experiment with 18 open-source text-to-text mLLMs of different sizes (from 0.3B to 13B parameters) on two standard BLI benchmarks covering a range of typologically diverse languages. Our work is the first to demonstrate strong BLI capabilities of text-to-text mLLMs. The results reveal that few-shot prompting with in-context examples from nearest neighbours achieves the best performance, establishing new state-of-the-art BLI scores for many language pairs. We also conduct a series of in-depth analyses and ablation studies, providing more insights on BLI with (m)LLMs, also along with their limitations.",1,1,1,0,0,0,p,p,0,0,n,n,"bul,cat,deu,eng,fra,hun,ita,rus","bul,cat,deu,eng,fin,fra,hrv,hun,ita,rus,tur","bul,cat,deu,eng,fin,fra,hrv,hun,ita,rus,tur","bul,cat,deu,eng,fin,fra,hrv,hun,ita,rus,tur"
